Sequence_ID	Progeny_Cell_ID
16_4_Lung_1_0	16_4_Lung_0_0
16_4_Lung_1_1	16_4_Lung_0_0
16_4_Lung_1_2	16_4_Lung_0_0
16_4_Lung_1_3	16_4_Lung_0_0
16_4_Lung_1_4	16_4_Lung_0_0
16_4_Lung_1_5	16_4_Lung_0_0
16_4_Lung_1_6	16_4_Lung_0_0
16_4_Lung_1_7	16_4_Lung_0_0
16_4_Lung_1_8	16_4_Lung_0_0
16_4_Lung_1_9	16_4_Lung_0_0
16_4_Lung_1_10	16_4_Lung_0_0
16_4_Lung_1_11	16_4_Lung_0_0
16_4_Lung_1_12	16_4_Lung_0_0
16_4_Lung_1_13	16_4_Lung_0_0
16_4_Lung_1_14	16_4_Lung_0_0
16_4_Lung_1_15	16_4_Lung_0_0
16_4_Lung_1_16	16_4_Lung_0_0
16_4_Lung_1_17	16_4_Lung_0_0
16_4_Lung_1_18	16_4_Lung_0_0
16_4_Lung_1_19	16_4_Lung_0_0
16_4_Lung_1_20	16_4_Lung_0_0
16_4_Lung_1_21	16_4_Lung_0_0
16_4_Lung_1_22	16_4_Lung_0_0
16_4_Lung_1_23	16_4_Lung_0_0
16_4_Lung_1_24	16_4_Lung_0_0
16_4_Lung_1_25	16_4_Lung_0_0
16_4_Lung_1_26	16_4_Lung_0_0
16_4_Lung_1_27	16_4_Lung_0_0
16_4_Lung_1_28	16_4_Lung_0_0
16_4_Lung_1_29	16_4_Lung_0_0
16_4_Lung_1_30	16_4_Lung_0_0
16_4_Lung_1_31	16_4_Lung_0_0
16_4_Lung_1_32	16_4_Lung_0_0
16_4_Lung_1_33	16_4_Lung_0_0
16_4_Lung_1_34	16_4_Lung_0_0
16_4_Lung_1_35	16_4_Lung_0_0
16_4_Lung_2_0	16_4_Lung_1_0
16_4_Lung_2_1	16_4_Lung_1_0
16_4_Lung_2_2	16_4_Lung_1_0
16_4_Lung_2_3	16_4_Lung_1_0
16_4_Lung_2_4	16_4_Lung_1_0
16_4_Lung_2_5	16_4_Lung_1_0
16_4_Lung_2_6	16_4_Lung_1_0
16_4_Lung_2_7	16_4_Lung_1_0
16_4_Lung_2_8	16_4_Lung_1_0
16_4_Lung_2_9	16_4_Lung_1_0
16_4_Lung_2_10	16_4_Lung_1_0
16_4_Lung_2_11	16_4_Lung_1_0
16_4_Lung_2_12	16_4_Lung_1_0
16_4_Lung_2_13	16_4_Lung_1_0
16_4_Lung_2_14	16_4_Lung_1_0
16_4_Lung_2_15	16_4_Lung_1_0
16_4_Lung_2_16	16_4_Lung_1_0
16_4_Lung_2_17	16_4_Lung_1_0
16_4_Lung_2_18	16_4_Lung_1_0
16_4_Lung_2_19	16_4_Lung_1_0
16_4_Lung_2_20	16_4_Lung_1_0
16_4_Lung_2_21	16_4_Lung_1_0
16_4_Lung_2_22	16_4_Lung_1_0
16_4_Lung_2_23	16_4_Lung_1_0
16_4_Lung_2_24	16_4_Lung_1_0
16_4_Lung_2_25	16_4_Lung_1_0
16_4_Lung_2_26	16_4_Lung_1_0
16_4_Lung_2_27	16_4_Lung_1_0
16_4_Lung_2_28	16_4_Lung_1_0
16_4_Lung_2_29	16_4_Lung_1_0
16_4_Lung_2_30	16_4_Lung_1_0
16_4_Lung_2_31	16_4_Lung_1_0
16_4_Lung_2_32	16_4_Lung_1_0
16_4_Lung_2_33	16_4_Lung_1_0
16_4_Lung_2_34	16_4_Lung_1_0
16_4_Lung_2_35	16_4_Lung_1_0
16_4_Lung_2_36	16_4_Lung_1_0
16_4_Lung_2_37	16_4_Lung_1_0
16_4_Lung_2_38	16_4_Lung_1_0
16_4_Lung_2_39	16_4_Lung_1_0
16_4_Lung_2_40	16_4_Lung_1_0
16_4_Lung_2_41	16_4_Lung_1_0
16_4_Lung_2_42	16_4_Lung_1_0
16_4_Lung_2_43	16_4_Lung_1_0
16_4_Lung_2_44	16_4_Lung_1_0
16_4_Lung_2_45	16_4_Lung_1_0
16_4_Lung_2_46	16_4_Lung_1_0
16_4_Lung_2_47	16_4_Lung_1_0
16_4_Lung_2_48	16_4_Lung_1_0
16_4_Lung_2_49	16_4_Lung_1_0
16_4_Lung_2_50	16_4_Lung_1_0
16_4_Lung_2_51	16_4_Lung_1_0
16_4_Lung_2_52	16_4_Lung_1_0
16_4_Lung_2_53	16_4_Lung_1_0
16_4_Lung_2_54	16_4_Lung_1_0
16_4_Lung_2_55	16_4_Lung_1_0
16_4_Lung_2_56	16_4_Lung_1_0
16_4_Lung_2_57	16_4_Lung_1_0
16_4_Lung_2_58	16_4_Lung_1_0
16_4_Lung_2_59	16_4_Lung_1_0
16_4_Lung_2_60	16_4_Lung_1_0
16_4_Lung_2_61	16_4_Lung_1_0
16_4_Lung_2_62	16_4_Lung_1_0
16_4_Lung_2_63	16_4_Lung_1_0
16_4_Lung_2_64	16_4_Lung_1_0
16_4_Lung_2_65	16_4_Lung_1_0
16_4_Lung_2_66	16_4_Lung_1_0
16_4_Lung_2_67	16_4_Lung_1_0
16_4_Lung_2_68	16_4_Lung_1_0
16_4_Lung_2_69	16_4_Lung_1_0
16_4_Lung_2_70	16_4_Lung_1_0
16_4_Lung_2_71	16_4_Lung_1_0
16_4_Lung_2_72	16_4_Lung_1_0
16_4_Lung_2_73	16_4_Lung_1_0
16_4_Lung_2_74	16_4_Lung_1_0
16_4_Lung_2_75	16_4_Lung_1_0
16_4_Lung_2_76	16_4_Lung_1_0
16_4_Lung_2_77	16_4_Lung_1_0
16_4_Lung_2_78	16_4_Lung_1_0
16_4_Lung_2_79	16_4_Lung_1_0
16_4_Lung_2_80	16_4_Lung_1_0
16_4_Lung_2_81	16_4_Lung_1_0
16_4_Lung_2_82	16_4_Lung_1_0
16_4_Lung_2_83	16_4_Lung_1_0
16_4_Lung_2_84	16_4_Lung_1_0
16_4_Lung_2_85	16_4_Lung_1_0
16_4_Lung_2_86	16_4_Lung_1_0
16_4_Lung_2_87	16_4_Lung_1_0
16_4_Lung_2_88	16_4_Lung_1_0
16_4_Lung_2_89	16_4_Lung_1_0
16_4_Lung_2_90	16_4_Lung_1_0
16_4_Lung_2_91	16_4_Lung_1_0
16_4_Lung_2_92	16_4_Lung_1_0
16_4_Lung_2_93	16_4_Lung_1_0
16_4_Lung_2_94	16_4_Lung_1_0
16_4_Lung_2_95	16_4_Lung_1_0
16_4_Lung_2_96	16_4_Lung_1_0
16_4_Lung_2_97	16_4_Lung_1_0
16_4_Lung_2_98	16_4_Lung_1_0
16_4_Lung_2_99	16_4_Lung_1_0
16_4_Lung_2_100	16_4_Lung_1_0
16_4_Lung_2_101	16_4_Lung_1_0
16_4_Lung_2_102	16_4_Lung_1_0
16_4_Lung_2_103	16_4_Lung_1_0
16_4_Lung_2_104	16_4_Lung_1_0
16_4_Lung_2_105	16_4_Lung_1_0
16_4_Lung_2_106	16_4_Lung_1_0
16_4_Lung_2_107	16_4_Lung_1_0
16_4_Lung_2_108	16_4_Lung_1_0
16_4_Lung_2_109	16_4_Lung_1_0
16_4_Lung_2_110	16_4_Lung_1_0
16_4_Lung_2_111	16_4_Lung_1_0
16_4_Lung_2_112	16_4_Lung_1_0
16_4_Lung_2_113	16_4_Lung_1_0
16_4_Lung_2_114	16_4_Lung_1_0
16_4_Lung_2_115	16_4_Lung_1_0
16_4_Lung_2_116	16_4_Lung_1_0
16_4_Lung_2_117	16_4_Lung_1_0
16_4_Lung_2_118	16_4_Lung_1_0
16_4_Lung_2_119	16_4_Lung_1_0
16_4_Lung_2_120	16_4_Lung_1_0
16_4_Lung_2_121	16_4_Lung_1_0
16_4_Lung_2_122	16_4_Lung_1_0
16_4_Lung_2_123	16_4_Lung_1_0
16_4_Lung_2_124	16_4_Lung_1_0
16_4_Lung_2_125	16_4_Lung_1_0
16_4_Lung_2_126	16_4_Lung_1_0
16_4_Lung_2_127	16_4_Lung_1_0
16_4_Lung_2_128	16_4_Lung_1_0
16_4_Lung_2_129	16_4_Lung_1_0
16_4_Lung_2_130	16_4_Lung_1_0
16_4_Lung_2_131	16_4_Lung_1_0
16_4_Lung_2_132	16_4_Lung_1_0
16_4_Lung_2_133	16_4_Lung_1_0
16_4_Lung_2_134	16_4_Lung_1_0
16_4_Lung_2_135	16_4_Lung_1_0
16_4_Lung_2_136	16_4_Lung_1_0
16_4_Lung_2_137	16_4_Lung_1_0
16_4_Lung_2_138	16_4_Lung_1_0
16_4_Lung_2_139	16_4_Lung_1_0
16_4_Lung_2_140	16_4_Lung_1_0
16_4_Lung_2_141	16_4_Lung_1_0
16_4_Lung_2_142	16_4_Lung_1_0
16_4_Lung_2_143	16_4_Lung_1_0
16_4_Lung_2_144	16_4_Lung_1_0
16_4_Lung_2_145	16_4_Lung_1_0
16_4_Lung_2_146	16_4_Lung_1_0
16_4_Lung_2_147	16_4_Lung_1_0
16_4_Lung_2_148	16_4_Lung_1_0
16_4_Lung_2_149	16_4_Lung_1_0
16_4_Lung_2_150	16_4_Lung_1_0
16_4_Lung_2_151	16_4_Lung_1_0
16_4_Lung_2_152	16_4_Lung_1_0
16_4_Lung_2_153	16_4_Lung_1_0
16_4_Lung_2_154	16_4_Lung_1_0
16_4_Lung_2_155	16_4_Lung_1_0
16_4_Lung_2_156	16_4_Lung_1_0
16_4_Lung_2_157	16_4_Lung_1_0
16_4_Lung_2_158	16_4_Lung_1_0
16_4_Lung_2_159	16_4_Lung_1_0
16_4_Lung_2_160	16_4_Lung_1_0
16_4_Lung_2_161	16_4_Lung_1_0
16_4_Lung_2_162	16_4_Lung_1_0
16_4_Lung_2_163	16_4_Lung_1_0
16_4_Lung_2_164	16_4_Lung_1_0
16_4_Lung_2_165	16_4_Lung_1_0
16_4_Lung_2_166	16_4_Lung_1_0
16_4_Lung_2_167	16_4_Lung_1_0
16_4_Lung_2_168	16_4_Lung_1_0
16_4_Lung_2_169	16_4_Lung_1_0
16_4_Lung_2_170	16_4_Lung_1_0
16_4_Lung_2_171	16_4_Lung_1_0
16_4_Lung_2_172	16_4_Lung_1_0
16_4_Lung_2_173	16_4_Lung_1_0
16_4_Lung_2_174	16_4_Lung_1_0
16_4_Lung_2_175	16_4_Lung_1_0
16_4_Lung_2_176	16_4_Lung_1_0
16_4_Lung_2_177	16_4_Lung_1_0
16_4_Lung_2_178	16_4_Lung_1_0
16_4_Lung_2_179	16_4_Lung_1_0
16_4_Lung_2_180	16_4_Lung_1_0
16_4_Lung_2_181	16_4_Lung_1_0
16_4_Lung_2_182	16_4_Lung_1_0
16_4_Lung_2_183	16_4_Lung_1_0
16_4_Lung_2_184	16_4_Lung_1_0
16_4_Lung_2_185	16_4_Lung_1_0
16_4_Lung_2_186	16_4_Lung_1_0
16_4_Lung_2_187	16_4_Lung_1_0
16_4_Lung_2_188	16_4_Lung_1_0
16_4_Lung_2_189	16_4_Lung_1_0
16_4_Lung_2_190	16_4_Lung_1_0
16_4_Lung_2_191	16_4_Lung_1_0
16_4_Lung_2_192	16_4_Lung_1_0
16_4_Lung_2_193	16_4_Lung_1_0
16_4_Lung_2_194	16_4_Lung_1_0
16_4_Lung_2_195	16_4_Lung_1_0
16_4_Lung_2_196	16_4_Lung_1_0
16_4_Lung_2_197	16_4_Lung_1_0
16_4_Lung_2_198	16_4_Lung_1_0
16_4_Lung_2_199	16_4_Lung_1_0
16_4_Lung_2_200	16_4_Lung_1_0
16_4_Lung_2_201	16_4_Lung_1_0
16_4_Lung_2_202	16_4_Lung_1_0
16_4_Lung_2_203	16_4_Lung_1_0
16_4_Lung_2_204	16_4_Lung_1_0
16_4_Lung_2_205	16_4_Lung_1_0
16_4_Lung_2_206	16_4_Lung_1_0
16_4_Lung_2_207	16_4_Lung_1_0
16_4_Lung_2_208	16_4_Lung_1_0
16_4_Lung_2_209	16_4_Lung_1_0
16_4_Lung_2_210	16_4_Lung_1_0
16_4_Lung_2_211	16_4_Lung_1_0
16_4_Lung_2_212	16_4_Lung_1_0
16_4_Lung_2_213	16_4_Lung_1_0
16_4_Lung_2_214	16_4_Lung_1_0
16_4_Lung_2_215	16_4_Lung_1_0
16_4_Lung_2_216	16_4_Lung_1_0
16_4_Lung_2_217	16_4_Lung_1_0
16_4_Lung_2_218	16_4_Lung_1_0
16_4_Lung_2_219	16_4_Lung_1_0
16_4_Lung_2_220	16_4_Lung_1_0
16_4_Lung_2_221	16_4_Lung_1_0
