overall_Generation	node_Generation	Tissue	num_Parents	num_Progeny	dead_Progeny
1	0	Blood	0	0	0
1	0	Lung	1	36	23
1	0	Gut	0	0	0
2	1	Blood	0	0	0
2	1	Lung	10	234	132
2	1	Gut	0	0	0
3	2	Blood	1	21	12
3	2	Lung	95	2385	1297
3	2	Gut	0	0	0
