Sequence_ID	Parent_Cell_ID
16_7_Blood_0_0	16_7_Blood_0_0
16_7_Blood_0_1	16_7_Blood_0_0
16_7_Blood_1_73	16_7_Blood_1_0
16_7_Blood_1_64	16_7_Blood_1_0
16_7_Blood_1_34	16_7_Blood_1_0
16_7_Blood_1_74	16_7_Blood_1_0
16_7_Blood_1_31	16_7_Blood_1_1
16_7_Blood_1_28	16_7_Blood_1_1
16_7_Blood_1_47	16_7_Blood_1_1
16_7_Blood_1_56	16_7_Blood_1_1
16_7_Blood_1_58	16_7_Blood_1_1
16_7_Blood_1_7	16_7_Blood_1_1
16_7_Blood_1_48	16_7_Blood_1_2
16_7_Blood_1_17	16_7_Blood_1_2
16_7_Blood_1_49	16_7_Blood_1_2
16_7_Blood_1_51	16_7_Blood_1_2
16_7_Blood_1_26	16_7_Blood_1_2
16_7_Blood_1_61	16_7_Blood_1_2
16_7_Blood_1_29	16_7_Blood_1_2
16_7_Blood_1_35	16_7_Blood_1_2
16_7_Blood_1_0	16_7_Blood_1_3
16_7_Blood_1_16	16_7_Blood_1_3
16_7_Blood_1_44	16_7_Blood_1_3
16_7_Blood_1_33	16_7_Blood_1_3
16_7_Blood_1_4	16_7_Blood_1_3
16_7_Blood_1_65	16_7_Blood_1_3
16_7_Blood_1_9	16_7_Blood_1_4
16_7_Blood_1_69	16_7_Blood_1_4
16_7_Blood_1_36	16_7_Blood_1_4
16_7_Blood_1_54	16_7_Blood_1_4
16_7_Blood_1_67	16_7_Blood_1_4
16_7_Blood_1_19	16_7_Blood_1_4
16_7_Blood_1_37	16_7_Blood_1_4
16_7_Blood_1_60	16_7_Blood_1_5
16_7_Blood_1_45	16_7_Blood_1_5
16_7_Blood_1_20	16_7_Blood_1_5
16_7_Blood_1_50	16_7_Blood_1_5
16_7_Lung_1_0	16_7_Lung_1_0
