Sequence_ID	Progeny_Cell_ID
16_7_Blood_1_0	16_7_Blood_0_0
16_7_Blood_1_1	16_7_Blood_0_0
16_7_Blood_1_2	16_7_Blood_0_0
16_7_Blood_1_3	16_7_Blood_0_0
16_7_Blood_1_4	16_7_Blood_0_0
16_7_Blood_1_5	16_7_Blood_0_0
16_7_Blood_1_6	16_7_Blood_0_0
16_7_Blood_1_7	16_7_Blood_0_0
16_7_Blood_1_8	16_7_Blood_0_0
16_7_Blood_1_9	16_7_Blood_0_0
16_7_Blood_1_10	16_7_Blood_0_0
16_7_Blood_1_11	16_7_Blood_0_0
16_7_Blood_1_12	16_7_Blood_0_0
16_7_Blood_1_13	16_7_Blood_0_0
16_7_Blood_1_14	16_7_Blood_0_0
16_7_Blood_1_15	16_7_Blood_0_0
16_7_Blood_1_16	16_7_Blood_0_0
16_7_Blood_1_17	16_7_Blood_0_0
16_7_Blood_1_18	16_7_Blood_0_0
16_7_Blood_1_19	16_7_Blood_0_0
16_7_Blood_1_20	16_7_Blood_0_0
16_7_Blood_1_21	16_7_Blood_0_0
16_7_Blood_1_22	16_7_Blood_0_0
16_7_Blood_1_23	16_7_Blood_0_0
16_7_Blood_1_24	16_7_Blood_0_0
16_7_Blood_1_25	16_7_Blood_0_0
16_7_Blood_1_26	16_7_Blood_0_0
16_7_Blood_1_27	16_7_Blood_0_0
16_7_Blood_1_28	16_7_Blood_0_0
16_7_Blood_1_29	16_7_Blood_0_0
16_7_Blood_1_30	16_7_Blood_0_0
16_7_Blood_1_31	16_7_Blood_0_0
16_7_Blood_1_32	16_7_Blood_0_0
16_7_Blood_1_33	16_7_Blood_0_0
16_7_Blood_1_34	16_7_Blood_0_0
16_7_Blood_1_35	16_7_Blood_0_0
16_7_Blood_1_36	16_7_Blood_0_0
16_7_Blood_1_37	16_7_Blood_0_0
16_7_Blood_1_38	16_7_Blood_0_0
16_7_Blood_1_39	16_7_Blood_0_0
16_7_Blood_1_40	16_7_Blood_0_0
16_7_Blood_1_41	16_7_Blood_0_0
16_7_Blood_1_42	16_7_Blood_0_0
16_7_Blood_1_43	16_7_Blood_0_0
16_7_Blood_1_44	16_7_Blood_0_0
16_7_Blood_1_45	16_7_Blood_0_0
16_7_Blood_1_46	16_7_Blood_0_0
16_7_Blood_1_47	16_7_Blood_0_0
16_7_Blood_1_48	16_7_Blood_0_0
16_7_Blood_1_49	16_7_Blood_0_0
16_7_Blood_1_50	16_7_Blood_0_0
16_7_Blood_1_51	16_7_Blood_0_0
16_7_Blood_1_52	16_7_Blood_0_0
16_7_Blood_1_53	16_7_Blood_0_0
16_7_Blood_1_54	16_7_Blood_0_0
16_7_Blood_1_55	16_7_Blood_0_0
16_7_Blood_1_56	16_7_Blood_0_0
16_7_Blood_1_57	16_7_Blood_0_0
16_7_Blood_1_58	16_7_Blood_0_0
16_7_Blood_1_59	16_7_Blood_0_0
16_7_Blood_1_60	16_7_Blood_0_0
16_7_Blood_1_61	16_7_Blood_0_0
16_7_Blood_1_62	16_7_Blood_0_0
16_7_Blood_1_63	16_7_Blood_0_0
16_7_Blood_1_64	16_7_Blood_0_0
16_7_Blood_1_65	16_7_Blood_0_0
16_7_Blood_1_66	16_7_Blood_0_0
16_7_Blood_1_67	16_7_Blood_0_0
16_7_Blood_1_68	16_7_Blood_0_0
16_7_Blood_1_69	16_7_Blood_0_0
16_7_Blood_1_70	16_7_Blood_0_0
16_7_Blood_1_71	16_7_Blood_0_0
16_7_Blood_1_72	16_7_Blood_0_0
16_7_Blood_1_73	16_7_Blood_0_0
16_7_Blood_1_74	16_7_Blood_0_0
16_7_Blood_2_0	16_7_Blood_1_0
16_7_Blood_2_1	16_7_Blood_1_0
16_7_Blood_2_2	16_7_Blood_1_0
16_7_Blood_2_3	16_7_Blood_1_0
16_7_Blood_2_4	16_7_Blood_1_0
16_7_Blood_2_5	16_7_Blood_1_0
16_7_Blood_2_6	16_7_Blood_1_0
16_7_Blood_2_7	16_7_Blood_1_0
16_7_Blood_2_8	16_7_Blood_1_0
16_7_Blood_2_9	16_7_Blood_1_0
16_7_Blood_2_10	16_7_Blood_1_0
16_7_Blood_2_11	16_7_Blood_1_0
16_7_Blood_2_12	16_7_Blood_1_0
16_7_Blood_2_13	16_7_Blood_1_0
16_7_Blood_2_14	16_7_Blood_1_0
16_7_Blood_2_15	16_7_Blood_1_0
16_7_Blood_2_16	16_7_Blood_1_0
