overall_Generation	node_Generation	Tissue	num_Parents	num_Progeny	dead_Progeny
3	0	Blood	2	75	36
3	0	Lung	0	0	0
3	0	Gut	0	0	0
4	1	Blood	35	972	556
4	1	Lung	1	24	13
4	1	Gut	0	0	0
