overall_Generation	node_Generation	Tissue	num_Parents	num_Progeny	dead_Progeny
3	0	Blood	0	0	0
3	0	Lung	2	57	32
3	0	Gut	0	0	0
4	1	Blood	5	114	58
4	1	Lung	15	315	173
4	1	Gut	0	0	0
