Sequence_ID	Parent_Cell_ID
16_0_Lung_0_0	16_0_Lung_0_0
16_0_Blood_1_1	16_0_Blood_1_0
16_0_Blood_2_11	16_0_Blood_2_0
16_0_Blood_2_17	16_0_Blood_2_0
16_0_Blood_2_22	16_0_Blood_2_0
16_0_Blood_2_26	16_0_Blood_2_0
16_0_Blood_2_4	16_0_Blood_2_1
16_0_Blood_2_5	16_0_Blood_2_1
16_0_Blood_2_20	16_0_Blood_2_1
16_0_Blood_2_16	16_0_Blood_2_2
16_0_Blood_2_7	16_0_Blood_2_2
16_0_Blood_2_27	16_0_Blood_2_2
16_0_Lung_2_4	16_0_Lung_2_0
16_0_Lung_2_0	16_0_Lung_2_0
