Sequence_ID	Progeny_Cell_ID
16_0_Lung_1_0	16_0_Lung_0_0
16_0_Lung_1_1	16_0_Lung_0_0
16_0_Lung_1_2	16_0_Lung_0_0
16_0_Lung_1_3	16_0_Lung_0_0
16_0_Lung_1_4	16_0_Lung_0_0
16_0_Lung_1_5	16_0_Lung_0_0
16_0_Lung_1_6	16_0_Lung_0_0
16_0_Lung_1_7	16_0_Lung_0_0
16_0_Lung_1_8	16_0_Lung_0_0
16_0_Lung_1_9	16_0_Lung_0_0
16_0_Lung_1_10	16_0_Lung_0_0
16_0_Lung_1_11	16_0_Lung_0_0
16_0_Lung_1_12	16_0_Lung_0_0
16_0_Lung_1_13	16_0_Lung_0_0
16_0_Lung_1_14	16_0_Lung_0_0
16_0_Lung_1_15	16_0_Lung_0_0
16_0_Lung_1_16	16_0_Lung_0_0
16_0_Lung_1_17	16_0_Lung_0_0
16_0_Blood_2_0	16_0_Blood_1_0
16_0_Blood_2_1	16_0_Blood_1_0
16_0_Blood_2_2	16_0_Blood_1_0
16_0_Blood_2_3	16_0_Blood_1_0
16_0_Blood_2_4	16_0_Blood_1_0
16_0_Blood_2_5	16_0_Blood_1_0
16_0_Blood_2_6	16_0_Blood_1_0
16_0_Blood_2_7	16_0_Blood_1_0
16_0_Blood_2_8	16_0_Blood_1_0
16_0_Blood_2_9	16_0_Blood_1_0
16_0_Blood_2_10	16_0_Blood_1_0
16_0_Blood_2_11	16_0_Blood_1_0
16_0_Blood_2_12	16_0_Blood_1_0
16_0_Blood_2_13	16_0_Blood_1_0
16_0_Blood_2_14	16_0_Blood_1_0
16_0_Blood_2_15	16_0_Blood_1_0
16_0_Blood_2_16	16_0_Blood_1_0
16_0_Blood_2_17	16_0_Blood_1_0
16_0_Blood_2_18	16_0_Blood_1_0
16_0_Blood_2_19	16_0_Blood_1_0
16_0_Blood_2_20	16_0_Blood_1_0
16_0_Blood_2_21	16_0_Blood_1_0
16_0_Blood_2_22	16_0_Blood_1_0
16_0_Blood_2_23	16_0_Blood_1_0
16_0_Blood_2_24	16_0_Blood_1_0
16_0_Blood_2_25	16_0_Blood_1_0
16_0_Blood_2_26	16_0_Blood_1_0
16_0_Blood_2_27	16_0_Blood_1_0
16_0_Blood_2_28	16_0_Blood_1_0
16_0_Blood_2_29	16_0_Blood_1_0
16_0_Blood_2_30	16_0_Blood_1_0
16_0_Blood_2_31	16_0_Blood_1_0
16_0_Blood_2_32	16_0_Blood_1_0
16_0_Blood_2_33	16_0_Blood_1_0
16_0_Blood_2_34	16_0_Blood_1_0
16_0_Blood_2_35	16_0_Blood_1_0
16_0_Blood_3_0	16_0_Blood_2_0
16_0_Blood_3_1	16_0_Blood_2_0
16_0_Blood_3_2	16_0_Blood_2_0
16_0_Blood_3_3	16_0_Blood_2_0
16_0_Blood_3_4	16_0_Blood_2_0
16_0_Blood_3_5	16_0_Blood_2_0
16_0_Blood_3_6	16_0_Blood_2_0
16_0_Blood_3_7	16_0_Blood_2_0
16_0_Blood_3_8	16_0_Blood_2_0
16_0_Blood_3_9	16_0_Blood_2_0
16_0_Blood_3_10	16_0_Blood_2_0
16_0_Blood_3_11	16_0_Blood_2_0
16_0_Blood_3_12	16_0_Blood_2_0
16_0_Blood_3_13	16_0_Blood_2_0
16_0_Blood_3_14	16_0_Blood_2_0
16_0_Blood_3_15	16_0_Blood_2_0
16_0_Blood_3_16	16_0_Blood_2_0
16_0_Blood_3_17	16_0_Blood_2_0
16_0_Blood_3_18	16_0_Blood_2_0
16_0_Blood_3_19	16_0_Blood_2_0
16_0_Blood_3_20	16_0_Blood_2_0
16_0_Blood_3_21	16_0_Blood_2_0
16_0_Blood_3_22	16_0_Blood_2_0
16_0_Blood_3_23	16_0_Blood_2_0
16_0_Blood_3_24	16_0_Blood_2_0
16_0_Blood_3_25	16_0_Blood_2_0
16_0_Blood_3_26	16_0_Blood_2_0
16_0_Blood_3_27	16_0_Blood_2_0
16_0_Blood_3_28	16_0_Blood_2_0
16_0_Blood_3_29	16_0_Blood_2_0
16_0_Blood_3_30	16_0_Blood_2_0
16_0_Blood_3_31	16_0_Blood_2_0
16_0_Blood_3_32	16_0_Blood_2_0
16_0_Blood_3_33	16_0_Blood_2_0
16_0_Blood_3_34	16_0_Blood_2_0
16_0_Blood_3_35	16_0_Blood_2_0
16_0_Blood_3_36	16_0_Blood_2_0
16_0_Blood_3_37	16_0_Blood_2_0
16_0_Blood_3_38	16_0_Blood_2_0
16_0_Blood_3_39	16_0_Blood_2_0
16_0_Blood_3_40	16_0_Blood_2_0
16_0_Blood_3_41	16_0_Blood_2_0
16_0_Blood_3_42	16_0_Blood_2_0
16_0_Blood_3_43	16_0_Blood_2_0
16_0_Blood_3_44	16_0_Blood_2_0
16_0_Blood_3_45	16_0_Blood_2_0
16_0_Blood_3_46	16_0_Blood_2_0
16_0_Blood_3_47	16_0_Blood_2_0
16_0_Blood_3_48	16_0_Blood_2_0
16_0_Blood_3_49	16_0_Blood_2_0
16_0_Blood_3_50	16_0_Blood_2_0
16_0_Blood_3_51	16_0_Blood_2_0
16_0_Blood_3_52	16_0_Blood_2_0
16_0_Blood_3_53	16_0_Blood_2_0
16_0_Blood_3_54	16_0_Blood_2_0
16_0_Blood_3_55	16_0_Blood_2_0
16_0_Blood_3_56	16_0_Blood_2_0
16_0_Blood_3_57	16_0_Blood_2_0
16_0_Blood_3_58	16_0_Blood_2_0
16_0_Blood_3_59	16_0_Blood_2_0
16_0_Blood_3_60	16_0_Blood_2_0
16_0_Blood_3_61	16_0_Blood_2_0
16_0_Blood_3_62	16_0_Blood_2_0
16_0_Blood_3_63	16_0_Blood_2_0
16_0_Blood_3_64	16_0_Blood_2_0
16_0_Blood_3_65	16_0_Blood_2_0
16_0_Blood_3_66	16_0_Blood_2_0
16_0_Blood_3_67	16_0_Blood_2_0
16_0_Blood_3_68	16_0_Blood_2_0
16_0_Blood_3_69	16_0_Blood_2_0
16_0_Blood_3_70	16_0_Blood_2_0
16_0_Blood_3_71	16_0_Blood_2_0
16_0_Blood_3_72	16_0_Blood_2_0
16_0_Blood_3_73	16_0_Blood_2_0
16_0_Blood_3_74	16_0_Blood_2_0
16_0_Blood_3_75	16_0_Blood_2_0
16_0_Blood_3_76	16_0_Blood_2_0
16_0_Blood_3_77	16_0_Blood_2_0
16_0_Blood_3_78	16_0_Blood_2_0
16_0_Blood_3_79	16_0_Blood_2_0
16_0_Blood_3_80	16_0_Blood_2_0
16_0_Blood_3_81	16_0_Blood_2_0
16_0_Blood_3_82	16_0_Blood_2_0
16_0_Blood_3_83	16_0_Blood_2_0
16_0_Blood_3_84	16_0_Blood_2_0
16_0_Blood_3_85	16_0_Blood_2_0
16_0_Blood_3_86	16_0_Blood_2_0
16_0_Blood_3_87	16_0_Blood_2_0
16_0_Blood_3_88	16_0_Blood_2_0
16_0_Blood_3_89	16_0_Blood_2_0
16_0_Blood_3_90	16_0_Blood_2_0
16_0_Blood_3_91	16_0_Blood_2_0
16_0_Blood_3_92	16_0_Blood_2_0
16_0_Blood_3_93	16_0_Blood_2_0
16_0_Blood_3_94	16_0_Blood_2_0
16_0_Blood_3_95	16_0_Blood_2_0
16_0_Blood_3_96	16_0_Blood_2_0
16_0_Blood_3_97	16_0_Blood_2_0
16_0_Blood_3_98	16_0_Blood_2_0
16_0_Blood_3_99	16_0_Blood_2_1
16_0_Blood_3_100	16_0_Blood_2_1
16_0_Blood_3_101	16_0_Blood_2_1
16_0_Blood_3_102	16_0_Blood_2_1
16_0_Blood_3_103	16_0_Blood_2_1
16_0_Blood_3_104	16_0_Blood_2_1
16_0_Blood_3_105	16_0_Blood_2_1
16_0_Blood_3_106	16_0_Blood_2_1
16_0_Blood_3_107	16_0_Blood_2_1
16_0_Blood_3_108	16_0_Blood_2_1
16_0_Blood_3_109	16_0_Blood_2_1
16_0_Blood_3_110	16_0_Blood_2_1
16_0_Blood_3_111	16_0_Blood_2_1
16_0_Blood_3_112	16_0_Blood_2_1
16_0_Blood_3_113	16_0_Blood_2_1
16_0_Blood_3_114	16_0_Blood_2_1
16_0_Blood_3_115	16_0_Blood_2_1
16_0_Blood_3_116	16_0_Blood_2_1
16_0_Blood_3_117	16_0_Blood_2_1
16_0_Blood_3_118	16_0_Blood_2_1
16_0_Blood_3_119	16_0_Blood_2_1
16_0_Blood_3_120	16_0_Blood_2_1
16_0_Blood_3_121	16_0_Blood_2_1
16_0_Blood_3_122	16_0_Blood_2_1
16_0_Blood_3_123	16_0_Blood_2_1
16_0_Blood_3_124	16_0_Blood_2_1
16_0_Blood_3_125	16_0_Blood_2_1
16_0_Blood_3_126	16_0_Blood_2_1
16_0_Blood_3_127	16_0_Blood_2_1
16_0_Blood_3_128	16_0_Blood_2_1
16_0_Blood_3_129	16_0_Blood_2_1
16_0_Blood_3_130	16_0_Blood_2_1
16_0_Blood_3_131	16_0_Blood_2_1
16_0_Blood_3_132	16_0_Blood_2_1
16_0_Blood_3_133	16_0_Blood_2_1
16_0_Blood_3_134	16_0_Blood_2_1
16_0_Blood_3_135	16_0_Blood_2_1
16_0_Blood_3_136	16_0_Blood_2_1
16_0_Blood_3_137	16_0_Blood_2_1
16_0_Blood_3_138	16_0_Blood_2_1
16_0_Blood_3_139	16_0_Blood_2_1
16_0_Blood_3_140	16_0_Blood_2_1
16_0_Blood_3_141	16_0_Blood_2_2
16_0_Blood_3_142	16_0_Blood_2_2
16_0_Blood_3_143	16_0_Blood_2_2
16_0_Blood_3_144	16_0_Blood_2_2
16_0_Blood_3_145	16_0_Blood_2_2
16_0_Blood_3_146	16_0_Blood_2_2
16_0_Blood_3_147	16_0_Blood_2_2
16_0_Blood_3_148	16_0_Blood_2_2
16_0_Blood_3_149	16_0_Blood_2_2
16_0_Blood_3_150	16_0_Blood_2_2
16_0_Blood_3_151	16_0_Blood_2_2
16_0_Blood_3_152	16_0_Blood_2_2
16_0_Blood_3_153	16_0_Blood_2_2
16_0_Blood_3_154	16_0_Blood_2_2
16_0_Blood_3_155	16_0_Blood_2_2
16_0_Blood_3_156	16_0_Blood_2_2
16_0_Blood_3_157	16_0_Blood_2_2
16_0_Blood_3_158	16_0_Blood_2_2
16_0_Blood_3_159	16_0_Blood_2_2
16_0_Blood_3_160	16_0_Blood_2_2
16_0_Blood_3_161	16_0_Blood_2_2
16_0_Blood_3_162	16_0_Blood_2_2
16_0_Blood_3_163	16_0_Blood_2_2
16_0_Blood_3_164	16_0_Blood_2_2
16_0_Blood_3_165	16_0_Blood_2_2
16_0_Blood_3_166	16_0_Blood_2_2
16_0_Blood_3_167	16_0_Blood_2_2
16_0_Blood_3_168	16_0_Blood_2_2
16_0_Blood_3_169	16_0_Blood_2_2
16_0_Blood_3_170	16_0_Blood_2_2
16_0_Blood_3_171	16_0_Blood_2_2
16_0_Blood_3_172	16_0_Blood_2_2
16_0_Blood_3_173	16_0_Blood_2_2
16_0_Blood_3_174	16_0_Blood_2_2
16_0_Blood_3_175	16_0_Blood_2_2
16_0_Blood_3_176	16_0_Blood_2_2
16_0_Blood_3_177	16_0_Blood_2_2
16_0_Blood_3_178	16_0_Blood_2_2
16_0_Blood_3_179	16_0_Blood_2_2
16_0_Blood_3_180	16_0_Blood_2_2
16_0_Blood_3_181	16_0_Blood_2_2
16_0_Blood_3_182	16_0_Blood_2_2
16_0_Blood_3_183	16_0_Blood_2_2
16_0_Blood_3_184	16_0_Blood_2_2
16_0_Blood_3_185	16_0_Blood_2_2
16_0_Blood_3_186	16_0_Blood_2_2
16_0_Blood_3_187	16_0_Blood_2_2
16_0_Blood_3_188	16_0_Blood_2_2
16_0_Blood_3_189	16_0_Blood_2_2
16_0_Blood_3_190	16_0_Blood_2_2
16_0_Blood_3_191	16_0_Blood_2_2
16_0_Blood_3_192	16_0_Blood_2_2
