Sequence_ID	Host	Tissue
16_2_Blood_0_0	16_2	Blood
16_5_Blood_1_1	16_5	Blood
16_2_Blood_1_0	16_2	Blood
16_2_Blood_1_1	16_2	Blood
16_2_Blood_1_2	16_2	Blood
16_2_Blood_1_3	16_2	Blood
16_2_Blood_1_4	16_2	Blood
16_2_Blood_1_5	16_2	Blood
16_2_Blood_1_6	16_2	Blood
16_2_Blood_1_7	16_2	Blood
16_2_Blood_1_8	16_2	Blood
16_2_Blood_1_9	16_2	Blood
16_2_Blood_1_10	16_2	Blood
16_2_Blood_1_11	16_2	Blood
16_2_Lung_1_0	16_2	Lung
16_2_Lung_1_1	16_2	Lung
16_2_Blood_1_12	16_2	Blood
16_2_Blood_1_13	16_2	Blood
16_12_Lung_0_0	16_12	Lung
