Sequence_ID	Host	Tissue
16_3_Blood_0_0	16_3	Blood
16_3_Blood_0_1	16_3	Blood
16_6_Blood_1_1	16_6	Blood
16_6_Blood_1_2	16_6	Blood
16_3_Blood_1_0	16_3	Blood
16_3_Blood_1_1	16_3	Blood
16_3_Blood_1_2	16_3	Blood
16_3_Blood_1_3	16_3	Blood
16_3_Blood_1_4	16_3	Blood
16_3_Blood_1_5	16_3	Blood
16_3_Blood_1_6	16_3	Blood
16_3_Blood_1_7	16_3	Blood
16_3_Blood_1_8	16_3	Blood
16_3_Blood_1_9	16_3	Blood
16_3_Blood_1_10	16_3	Blood
16_3_Blood_1_11	16_3	Blood
16_3_Blood_1_12	16_3	Blood
16_3_Lung_1_0	16_3	Lung
16_3_Blood_1_13	16_3	Blood
