Sequence_ID	Host	Tissue
16_11_Blood_0_0	16_11	Blood
16_6_Blood_2_3	16_6	Blood
16_11_Blood_1_0	16_11	Blood
16_11_Blood_1_1	16_11	Blood
16_11_Blood_1_2	16_11	Blood
16_11_Lung_1_0	16_11	Lung
16_11_Lung_1_1	16_11	Lung
16_11_Blood_1_3	16_11	Blood
16_11_Blood_2_0	16_11	Blood
16_11_Blood_2_1	16_11	Blood
16_11_Blood_2_2	16_11	Blood
16_11_Blood_2_3	16_11	Blood
16_11_Blood_2_4	16_11	Blood
16_11_Blood_2_5	16_11	Blood
16_11_Blood_2_6	16_11	Blood
16_11_Blood_2_7	16_11	Blood
16_11_Blood_2_8	16_11	Blood
16_11_Blood_2_9	16_11	Blood
16_11_Blood_2_10	16_11	Blood
16_11_Blood_2_11	16_11	Blood
16_11_Blood_2_12	16_11	Blood
16_11_Blood_2_13	16_11	Blood
16_11_Lung_2_0	16_11	Lung
16_11_Lung_2_1	16_11	Lung
16_11_Lung_2_2	16_11	Lung
16_11_Lung_2_3	16_11	Lung
16_11_Lung_2_4	16_11	Lung
16_11_Lung_2_5	16_11	Lung
16_11_Lung_2_6	16_11	Lung
16_11_Lung_2_7	16_11	Lung
16_11_Lung_2_8	16_11	Lung
16_11_Lung_2_9	16_11	Lung
16_11_Lung_2_10	16_11	Lung
16_11_Lung_2_11	16_11	Lung
16_11_Lung_2_12	16_11	Lung
16_11_Blood_2_14	16_11	Blood
16_11_Blood_2_15	16_11	Blood
16_11_Blood_2_16	16_11	Blood
16_11_Blood_2_17	16_11	Blood
16_11_Blood_2_18	16_11	Blood
16_11_Blood_2_19	16_11	Blood
