Sequence_ID	Host	Tissue
8_0_Lung_0_0	8_0	Lung
8_0_Lung_0_1	8_0	Lung
8_0_Lung_1_0	8_0	Lung
8_0_Lung_1_1	8_0	Lung
8_0_Lung_1_2	8_0	Lung
8_0_Lung_1_3	8_0	Lung
8_0_Lung_1_4	8_0	Lung
8_0_Lung_1_5	8_0	Lung
8_0_Lung_1_6	8_0	Lung
8_0_Lung_1_7	8_0	Lung
8_0_Lung_1_8	8_0	Lung
8_0_Lung_1_9	8_0	Lung
8_0_Lung_1_10	8_0	Lung
8_0_Lung_1_11	8_0	Lung
8_0_Lung_1_12	8_0	Lung
8_0_Lung_1_13	8_0	Lung
8_0_Lung_1_14	8_0	Lung
8_0_Lung_1_15	8_0	Lung
8_0_Lung_1_16	8_0	Lung
8_0_Lung_1_17	8_0	Lung
8_0_Lung_1_18	8_0	Lung
8_0_Blood_1_0	8_0	Blood
8_0_Blood_1_1	8_0	Blood
8_0_Blood_1_2	8_0	Blood
8_0_Blood_1_3	8_0	Blood
