Generation	Pa	Pb	Pab	cLD
0	0.500000	0.500000	0.500000	1.000000
1	0.772252	0.782282	0.662349	0.113192
2	0.903271	0.901252	0.832997	0.046044
3	0.959113	0.957587	0.924329	0.021812
4	0.981794	0.981058	0.964378	0.004199
5	0.992179	0.992508	0.985015	0.001259
6	0.996630	0.996716	0.993417	0.000331
7	0.998523	0.998612	0.997142	0.000014
8	0.999435	0.999451	0.998887	0.000000
9	0.999745	0.999764	0.999510	0.000000
10	0.999893	0.999902	0.999795	0.000000
