Generation	Pa	Pb	Pab	cLD
0	0.500000	0.500000	0.500000	1.000000
1	0.722222	0.734455	0.588175	0.085196
2	0.864996	0.851609	0.754201	0.020901
3	0.934732	0.920687	0.867317	0.010138
4	0.966431	0.960512	0.930921	0.005717
5	0.983248	0.981162	0.966149	0.006655
6	0.991375	0.990375	0.982371	0.003550
7	0.995397	0.994906	0.990610	0.003459
8	0.997862	0.997303	0.995226	0.000527
9	0.999008	0.998566	0.997596	0.000289
10	0.999522	0.999337	0.998863	0.000050
