Generation	Pa	Pb	Pab	cLD
0	0.500000	0.500000	0.500000	1.000000
1	0.721569	0.735574	0.589916	0.089529
2	0.858939	0.861732	0.761173	0.030543
3	0.923515	0.929888	0.866378	0.012584
4	0.960566	0.965834	0.929862	0.003577
5	0.981018	0.982128	0.964257	0.001821
6	0.991660	0.990652	0.982312	0.000079
7	0.995351	0.995081	0.990432	0.000023
8	0.997673	0.997285	0.994958	0.000006
9	0.998752	0.998712	0.997465	0.000002
10	0.999461	0.999474	0.998935	0.000000
