Source	Target	Type
16_1_Blood_0_0	16_5_Lung_0_0	Transmission
16_1_Lung_0_0	16_1_Lung_1_0	primary_parent
16_1_Lung_0_0	16_1_Lung_1_0	recombination_parent_1
16_1_Lung_0_0	16_1_Lung_1_0	recombination_parent_2
16_1_Lung_0_0	16_1_Lung_1_1	primary_parent
16_1_Lung_0_0	16_1_Lung_1_1	recombination_parent_1
16_1_Lung_0_0	16_1_Lung_1_1	recombination_parent_2
16_1_Lung_1_1	16_1_Blood_1_0	Transmission
16_1_Blood_1_0	16_6_Lung_0_0	Transmission
