Sequence_ID	Host	Tissue
16_1_Blood_0_0	16_1	Blood
16_1_Lung_0_0	16_1	Lung
16_5_Lung_0_0	16_5	Lung
16_1_Lung_1_0	16_1	Lung
16_1_Lung_1_1	16_1	Lung
16_1_Blood_1_0	16_1	Blood
16_6_Lung_0_0	16_6	Lung
