Sequence_ID	Parent_Cell_ID
16_9_Blood_0_0	16_9_Blood_0_0
16_9_Blood_1_6	16_9_Blood_1_0
16_9_Blood_1_0	16_9_Blood_1_0
16_9_Blood_1_1	16_9_Blood_1_0
