overall_Generation	node_Generation	Tissue	num_Parents	num_Progeny	dead_Progeny
3	0	Blood	1	15	8
3	0	Lung	0	0	0
3	0	Gut	0	0	0
4	1	Blood	3	111	68
4	1	Lung	0	0	0
4	1	Gut	0	0	0
