overall_Generation	node_Generation	Tissue	num_Parents	num_Progeny	dead_Progeny
2	0	Blood	0	0	0
2	0	Lung	1	48	28
2	0	Gut	0	0	0
3	1	Blood	1	54	22
3	1	Lung	15	417	224
3	1	Gut	0	0	0
