overall_Generation	node_Generation	Tissue	num_Parents	num_Progeny	dead_Progeny
0	0	Blood	0	0	0
0	0	Lung	1	54	27
0	0	Gut	0	0	0
1	1	Blood	3	72	42
1	1	Lung	16	369	204
1	1	Gut	0	0	0
