Sequence_ID	Host	Tissue
3_1_Blood_0_0	3_1	Blood
3_1_Lung_0_0	3_1	Lung
0_2_Blood_0_0	0_2	Blood
3_1_Lung_1_0	3_1	Lung
3_1_Lung_1_1	3_1	Lung
3_1_Lung_1_2	3_1	Lung
3_1_Lung_1_3	3_1	Lung
3_1_Lung_1_4	3_1	Lung
3_1_Lung_1_5	3_1	Lung
3_1_Lung_1_6	3_1	Lung
3_1_Lung_1_7	3_1	Lung
3_1_Lung_1_8	3_1	Lung
3_1_Blood_1_0	3_1	Blood
