Sequence_ID	Host	Tissue
7_4_Lung_0_0	7_4	Lung
7_4_Lung_0_1	7_4	Lung
7_4_Lung_1_0	7_4	Lung
7_4_Lung_1_1	7_4	Lung
7_4_Lung_1_2	7_4	Lung
7_4_Lung_1_3	7_4	Lung
7_4_Lung_1_4	7_4	Lung
7_4_Lung_1_5	7_4	Lung
7_4_Lung_1_6	7_4	Lung
7_4_Lung_1_7	7_4	Lung
7_4_Lung_1_8	7_4	Lung
7_4_Lung_1_9	7_4	Lung
7_4_Lung_1_10	7_4	Lung
7_4_Lung_1_11	7_4	Lung
7_4_Lung_1_12	7_4	Lung
7_4_Lung_1_13	7_4	Lung
7_4_Lung_1_14	7_4	Lung
7_4_Lung_1_15	7_4	Lung
7_4_Lung_1_16	7_4	Lung
7_4_Lung_1_17	7_4	Lung
7_4_Lung_1_18	7_4	Lung
7_4_Lung_1_19	7_4	Lung
7_4_Lung_1_20	7_4	Lung
7_4_Lung_1_21	7_4	Lung
7_4_Lung_1_22	7_4	Lung
7_4_Blood_1_0	7_4	Blood
7_4_Blood_1_1	7_4	Blood
7_4_Blood_1_2	7_4	Blood
7_4_Blood_1_3	7_4	Blood
7_4_Blood_1_4	7_4	Blood
7_4_Blood_1_5	7_4	Blood
