Sequence_ID	Host	Tissue
0_35_Blood_0_0	0_35	Blood
0_3_Blood_1_1	0_3	Blood
0_35_Blood_1_0	0_35	Blood
0_35_Blood_1_1	0_35	Blood
0_35_Blood_1_2	0_35	Blood
