Sequence_ID	Progeny_Cell_ID
18_3_Lung_1_0	18_3_Lung_0_0
18_3_Lung_1_1	18_3_Lung_0_0
18_3_Lung_1_2	18_3_Lung_0_0
18_3_Lung_1_3	18_3_Lung_0_0
18_3_Lung_1_4	18_3_Lung_0_0
18_3_Lung_1_5	18_3_Lung_0_0
18_3_Lung_1_6	18_3_Lung_0_0
18_3_Lung_1_7	18_3_Lung_0_0
18_3_Lung_1_8	18_3_Lung_0_0
18_3_Lung_1_9	18_3_Lung_0_0
18_3_Lung_1_10	18_3_Lung_0_0
18_3_Lung_1_11	18_3_Lung_0_0
18_3_Lung_1_12	18_3_Lung_0_0
18_3_Lung_1_13	18_3_Lung_0_0
18_3_Lung_1_14	18_3_Lung_0_0
18_3_Lung_1_15	18_3_Lung_0_0
18_3_Lung_1_16	18_3_Lung_0_0
18_3_Lung_1_17	18_3_Lung_0_0
18_3_Lung_1_18	18_3_Lung_0_0
18_3_Lung_1_19	18_3_Lung_0_0
18_3_Lung_1_20	18_3_Lung_0_0
18_3_Lung_1_21	18_3_Lung_0_0
18_3_Lung_1_22	18_3_Lung_0_0
18_3_Lung_1_23	18_3_Lung_0_0
18_3_Lung_1_24	18_3_Lung_0_0
18_3_Lung_1_25	18_3_Lung_0_0
18_3_Lung_1_26	18_3_Lung_0_0
