Sequence_ID	Progeny_Cell_ID
0_3_Lung_1_0	0_3_Lung_0_0
0_3_Lung_1_1	0_3_Lung_0_0
0_3_Lung_1_2	0_3_Lung_0_0
0_3_Lung_1_3	0_3_Lung_0_0
0_3_Lung_1_4	0_3_Lung_0_0
0_3_Lung_1_5	0_3_Lung_0_0
0_3_Lung_1_6	0_3_Lung_0_0
0_3_Lung_1_7	0_3_Lung_0_0
0_3_Lung_1_8	0_3_Lung_0_0
0_3_Lung_1_9	0_3_Lung_0_0
0_3_Lung_2_0	0_3_Lung_1_0
0_3_Lung_2_1	0_3_Lung_1_0
0_3_Lung_2_2	0_3_Lung_1_0
0_3_Lung_2_3	0_3_Lung_1_0
0_3_Lung_2_4	0_3_Lung_1_0
0_3_Lung_2_5	0_3_Lung_1_0
0_3_Lung_2_6	0_3_Lung_1_0
0_3_Lung_2_7	0_3_Lung_1_0
0_3_Lung_2_8	0_3_Lung_1_0
0_3_Lung_2_9	0_3_Lung_1_0
