Sequence_ID	Parent_Cell_ID
16_6_Lung_0_0	16_6_Lung_0_0
16_6_Blood_1_0	16_6_Blood_1_0
16_6_Lung_1_1	16_6_Lung_1_0
16_6_Blood_2_1	16_6_Blood_2_0
16_6_Blood_2_4	16_6_Blood_2_0
16_6_Lung_2_6	16_6_Lung_2_0
16_6_Lung_2_0	16_6_Lung_2_0
16_6_Blood_3_10	16_6_Blood_3_0
16_6_Blood_3_0	16_6_Blood_3_0
16_6_Blood_3_11	16_6_Blood_3_0
16_6_Blood_3_4	16_6_Blood_3_0
16_6_Blood_3_13	16_6_Blood_3_0
16_6_Blood_3_16	16_6_Blood_3_0
16_6_Blood_3_6	16_6_Blood_3_0
16_6_Blood_3_2	16_6_Blood_3_1
