overall_Generation	node_Generation	Tissue	num_Parents	num_Progeny	dead_Progeny
1	0	Blood	0	0	0
1	0	Lung	1	6	2
1	0	Gut	0	0	0
2	1	Blood	1	3	0
2	1	Lung	1	14	9
2	1	Gut	0	0	0
3	2	Blood	2	25	13
3	2	Lung	2	6	4
3	2	Gut	0	0	0
4	3	Blood	8	71	34
4	3	Lung	2	0	0
4	3	Gut	0	0	0
