Sequence_ID	Progeny_Cell_ID
16_6_Lung_1_0	16_6_Lung_0_0
16_6_Lung_1_1	16_6_Lung_0_0
16_6_Lung_1_2	16_6_Lung_0_0
16_6_Lung_1_3	16_6_Lung_0_0
16_6_Lung_1_4	16_6_Lung_0_0
16_6_Lung_1_5	16_6_Lung_0_0
16_6_Blood_2_0	16_6_Blood_1_0
16_6_Blood_2_1	16_6_Blood_1_0
16_6_Blood_2_2	16_6_Blood_1_0
16_6_Lung_2_0	16_6_Lung_1_0
16_6_Lung_2_1	16_6_Lung_1_0
16_6_Lung_2_2	16_6_Lung_1_0
16_6_Lung_2_3	16_6_Lung_1_0
16_6_Lung_2_4	16_6_Lung_1_0
16_6_Lung_2_5	16_6_Lung_1_0
16_6_Lung_2_6	16_6_Lung_1_0
16_6_Lung_2_7	16_6_Lung_1_0
16_6_Lung_2_8	16_6_Lung_1_0
16_6_Lung_2_9	16_6_Lung_1_0
16_6_Lung_2_10	16_6_Lung_1_0
16_6_Lung_2_11	16_6_Lung_1_0
16_6_Lung_2_12	16_6_Lung_1_0
16_6_Lung_2_13	16_6_Lung_1_0
16_6_Blood_3_0	16_6_Blood_2_0
16_6_Blood_3_1	16_6_Blood_2_0
16_6_Blood_3_2	16_6_Blood_2_0
16_6_Blood_3_3	16_6_Blood_2_0
16_6_Blood_3_4	16_6_Blood_2_0
16_6_Blood_3_5	16_6_Blood_2_0
16_6_Blood_3_6	16_6_Blood_2_0
16_6_Blood_3_7	16_6_Blood_2_0
16_6_Blood_3_8	16_6_Blood_2_0
16_6_Blood_3_9	16_6_Blood_2_0
16_6_Blood_3_10	16_6_Blood_2_0
16_6_Blood_3_11	16_6_Blood_2_0
16_6_Blood_3_12	16_6_Blood_2_0
16_6_Blood_3_13	16_6_Blood_2_0
16_6_Blood_3_14	16_6_Blood_2_0
16_6_Blood_3_15	16_6_Blood_2_0
16_6_Blood_3_16	16_6_Blood_2_0
16_6_Blood_3_17	16_6_Blood_2_0
16_6_Blood_3_18	16_6_Blood_2_0
16_6_Blood_3_19	16_6_Blood_2_0
16_6_Blood_3_20	16_6_Blood_2_0
16_6_Blood_3_21	16_6_Blood_2_0
16_6_Blood_3_22	16_6_Blood_2_0
16_6_Blood_3_23	16_6_Blood_2_0
16_6_Blood_3_24	16_6_Blood_2_0
16_6_Lung_3_0	16_6_Lung_2_0
16_6_Lung_3_1	16_6_Lung_2_0
16_6_Lung_3_2	16_6_Lung_2_0
16_6_Lung_3_3	16_6_Lung_2_0
16_6_Lung_3_4	16_6_Lung_2_0
16_6_Lung_3_5	16_6_Lung_2_0
16_6_Blood_4_0	16_6_Blood_3_0
16_6_Blood_4_1	16_6_Blood_3_0
16_6_Blood_4_2	16_6_Blood_3_0
16_6_Blood_4_3	16_6_Blood_3_0
16_6_Blood_4_4	16_6_Blood_3_0
16_6_Blood_4_5	16_6_Blood_3_0
16_6_Blood_4_6	16_6_Blood_3_0
16_6_Blood_4_7	16_6_Blood_3_0
16_6_Blood_4_8	16_6_Blood_3_0
16_6_Blood_4_9	16_6_Blood_3_0
16_6_Blood_4_10	16_6_Blood_3_0
16_6_Blood_4_11	16_6_Blood_3_0
16_6_Blood_4_12	16_6_Blood_3_0
16_6_Blood_4_13	16_6_Blood_3_0
16_6_Blood_4_14	16_6_Blood_3_0
16_6_Blood_4_15	16_6_Blood_3_0
16_6_Blood_4_16	16_6_Blood_3_0
16_6_Blood_4_17	16_6_Blood_3_0
16_6_Blood_4_18	16_6_Blood_3_0
16_6_Blood_4_19	16_6_Blood_3_0
16_6_Blood_4_20	16_6_Blood_3_0
16_6_Blood_4_21	16_6_Blood_3_0
16_6_Blood_4_22	16_6_Blood_3_0
16_6_Blood_4_23	16_6_Blood_3_0
16_6_Blood_4_24	16_6_Blood_3_0
16_6_Blood_4_25	16_6_Blood_3_0
16_6_Blood_4_26	16_6_Blood_3_0
16_6_Blood_4_27	16_6_Blood_3_0
16_6_Blood_4_28	16_6_Blood_3_0
16_6_Blood_4_29	16_6_Blood_3_0
16_6_Blood_4_30	16_6_Blood_3_0
16_6_Blood_4_31	16_6_Blood_3_0
16_6_Blood_4_32	16_6_Blood_3_0
16_6_Blood_4_33	16_6_Blood_3_0
16_6_Blood_4_34	16_6_Blood_3_0
16_6_Blood_4_35	16_6_Blood_3_0
16_6_Blood_4_36	16_6_Blood_3_0
16_6_Blood_4_37	16_6_Blood_3_0
16_6_Blood_4_38	16_6_Blood_3_0
16_6_Blood_4_39	16_6_Blood_3_0
16_6_Blood_4_40	16_6_Blood_3_0
16_6_Blood_4_41	16_6_Blood_3_0
16_6_Blood_4_42	16_6_Blood_3_0
16_6_Blood_4_43	16_6_Blood_3_0
